grouping,sort,section,units,grade,level_achieved,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Students in District,1,District_Perform,count,All,,4668,4831,5128,5479,5939,6186,6446,6427,6697,7235,7612,8380,9470,10335,11127,11682,12389,13014,13540,14056,14586,15081,15465,15615,15768,15924,15643,15875
Annual Dropout Rate,10,District_Perform,rate,All,,1.6,2,1.3,0.8,0.3,0.6,0.5,0.4,0.5,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,0.6,0.4,0.7,0.5,0.9,0.6,0.8,0.4,0.7,1.1
Four-year Dropout Rate,12,District_Perform,rate,All,,,,,,7.9,3.2,4,1,2,1.7,1.1,1.2,4.6,3.4,4.6,3.4,4.2,2.8,,,,,,,,,,
Exit-Level Cumulative Pass Rate,13,District_Perform,score,All,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,
Total Number of Schools,2,District_Perform,count,All,,8,8,8,9,10,11,11,11,11,12,12,13,13,13,14,15,15,15,15,15,15,16,16,16,16,16,16,16
Attendance Rate,3,District_Perform,rate,All,,94.7,95,95.1,95.2,95.5,95.5,96,95.6,95.9,95.8,96,96.1,96.5,96.3,96.2,96.2,95.9,96,96.2,96,96.3,95.9,95.9,95.8,95.8,95.8,99,96.1
Completion Rate,4,District_Perform,rate,All,,,,,,96.7,89.5,88.7,93,89.9,92.4,93.3,92.1,90,90.5,86.9,91.7,93.4,94.3,,,,,,,,,,
Annual Graduate Count,5,District_Perform,count,All,,267,260,291,329,387,377,455,490,467,534,519,557,572,706,708,848,865,882,1012,1020,1015,1129,1114,1247,1283,1270,1272,1330
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,,,,,,,,,,,,,,,,,,,,915,962,940,1049,1026,1156,1213,1202,1177,1220
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,95.9,94.8,96,96.3,97.2,96.1,96.9,96.9,97.3,97.5
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,96.1,96.6,95.9,96.3,98.2,98,97,97,97.3,97.7
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,,,,,97.5,98.3,98,97.2,97.1,97.2
Instructional,EC1,Expenses,percent_of_exp,All,,53,51,58,49,52,52,50,49,51,50,57,57,57,58,60,62,60,61,59.7,59.9,60.6,60.1,59.5,59.5,59.4,59.6,61.5,60.9
Central Administrative,EC2,Expenses,percent_of_exp,All,,7,7,7,6,6,7,8,7,7,7,7,7,7,7,6,5,6,5,5,5,4.8,5.8,6.1,6,6,5.8,5.9,5.8
Campus Administrative-School Leadership,EC3,Expenses,percent_of_exp,All,,4,4,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,5.7,5.8,5.5,5.6,5.5,5.5,5.4,5.3,5.1,5.2
Plant Services,EC4,Expenses,percent_of_exp,All,,11,10,11,11,11,10,10,10,10,10,11,11,12,12,11,11,11,10,10.7,9.8,10.4,10.4,10.2,10.7,10.3,9.7,9.3,10.1
Other Operating,EC5,Expenses,percent_of_exp,All,,15,16,16,15,17,18,17,18,16,16,19,19,19,18,18,17,18,18,19,19.5,18.8,17.9,18.4,18,18.9,19.6,18.1,18.1
Non-Operating,EC6,Expenses,percent_of_exp,All,,10,11,9,15,10,8,10,11,11,13,,,,,,,,,,,,,,,,,,
Total Expenditures,EXP1,Expenses,dollars,All,,23223891,24199460,25218419,30292496,32648907,36942341,39935917,43488377,44284186,48264575,75856141,71500736,67658910,117115640,176913266,158686580,119689709,111723910,120744478,114277731,156021368,185123043,286519529,181819772,222715658,183465190,180985918,169960636
Total Instructional Expenditures,EXP10,Expenses,dollars,All,,12220739,12313422,13200310,14699516,16884069,19285392,20076404,21266149,22478343,24116366,25752609,28883687,31531957,37513744,46895132,54418458,54787261,56387434,53437644,56040543,62211413,67549099,69429500,74493346,76592727,78483056,84610560,85320421
Total Instructional ExpendPer Pupil,EXP11,Expenses,dollars,All,,2618,2549,2574,2683,2843,3118,3115,3309,3356,3601,3559,3794,3763,3961,4538,4891,4690,4551,4106,4139,4426,4631,4604,4817,4905,4977,5313,5454
Total Operating Expenditures,EXP2,Expenses,dollars,All,,20924195,21501038,22830591,25629028,29513110,33976406,35980515,38493612,39316527,42073977,44982145,50386506,55512440,64764015,78466716,88030770,91276791,92809594,89572200,93558672,102741543,112491211,116730909,125247326,128948296,131788947,137534418,140157695
