grouping,sort,section,units,grade,level_achieved,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Students in District,DP01,District_Perform,count,All,,4668,4831,5128,5479,5939,6186,6446,6427,6697,7235,7612,8380,9470,10335,11127,11682,12389,13014,13540,14056,14586,15081,15465,15615,15768,15924,15643,15875,15519
Total Number of Schools,DP02,District_Perform,count,All,,8,8,8,9,10,11,11,11,11,12,12,13,13,13,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16
Attendance Rate,DP03,District_Perform,rate,All,,0.947,0.95,0.951,0.952,0.955,0.955,0.96,0.956,0.959,0.958,0.96,0.961,0.965,0.963,0.962,0.962,0.959,0.96,0.962,0.96,0.963,0.959,0.959,0.958,0.958,0.958,,0.961,0.933
Completion Rate,DP04,District_Perform,rate,All,,,,,,0.967,0.895,0.887,0.93,0.899,0.924,0.933,0.921,0.9,0.905,0.869,0.917,0.934,0.943,,,,,,,,,,,
Annual Graduate Count,DP05,District_Perform,count,All,,267,260,291,329,387,377,455,490,467,534,519,557,572,706,708,848,865,882,1012,1020,1015,1129,1114,1247,1283,1270,1272,1330,1393
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,DP06,District_Perform,count,All,,,,,,,,,,,,,,,,,,,,915,962,940,1049,1026,1156,1213,1202,1177,1220,1296
4-Year Longitudinal Graduation Rate,DP07,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,0.959,0.948,0.96,0.963,0.972,0.961,0.969,0.969,0.973,0.975,0.956
5-Year Longitudinal Graduation Rate,DP08,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,0.961,0.966,0.959,0.963,0.982,0.98,0.97,0.97,0.973,0.977,0.978
6-Year Longitudinal Graduation Rate,DP09,District_Perform,rate,All,,,,,,,,,,,,,,,,,,,,,,,,0.975,0.983,0.98,0.972,0.971,0.972,0.979
Annual Dropout Rate,DP10,District_Perform,rate,All,,0.016,0.02,0.013,0.008,0.003,0.006,0.005,0.004,0.005,0,0,0,0.002,0,0,0,0,0,,,,,,,,,,,
