reference_path,reference_file,reference_sheet,reference_class,byte_sha256,content_sha256,rows,columns,normalized_columns,identity_column_count,has_year_columns,has_long_pair,structural_snapshot_signal
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,data,canonical,0d7de03b61d0a91725f9412f5e7adf03cab1c895bc1fc89aa235776d3bb2198e,c81efc99a49a0a583ce2568bf737649815d983a3e592e8511e701eb682b0538b,4256,8,date;grade;grouping;level_achieved;section;sort;units;value,6,FALSE,TRUE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,data,canonical,a231bd1e33cef0adfe001d0049d7c0a44535cd1097160bb9d0c984ee3794021d,c81efc99a49a0a583ce2568bf737649815d983a3e592e8511e701eb682b0538b,4256,8,date;grade;grouping;level_achieved;section;sort;units;value,6,FALSE,TRUE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,data,canonical,7ac622b4513d82c052a92ca90852f71247b173137fe4704d031580f4dbf24b53,12b788e68765640be62bc13a094f7f9cf5aa3d9bea83216aa691bc402820637c,152,6,grade;grouping;level_achieved;section;sort;units,6,FALSE,FALSE,FALSE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,data,canonical,8057ffb4fa89c93dd72853301e97fb4c67d94a1e83e59ba16f7bb003f1a9ad0d,56a61c58ac1af4775256a3f81ca34ea868c53d8a1c5814f2cb5586d24f422d70,152,34,1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;grade;grouping;level_achieved;section;sort;units,6,TRUE,FALSE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,data,canonical,b2dbe77887a04acdb2dd9d5d9fa297eafe7535fc2f2c91228addade39d31ad87,739f415359e8872caeba94f30dccb81d13273e086fd39fa75014eb0bd5edec2a,4408,8,date;grade;grouping;level_achieved;section;sort;units;value,6,FALSE,TRUE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,data,canonical,6e5643b520fec476bdfda83c37382d110f63df2206f74698eebe016690632561,739f415359e8872caeba94f30dccb81d13273e086fd39fa75014eb0bd5edec2a,4408,8,date;grade;grouping;level_achieved;section;sort;units;value,6,FALSE,TRUE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,data,canonical,4c39af45aa990fa126217124164a5fee368a28276a9ae9f0b582e51ef934bdb8,23897b8848fb47000f71d7822f40d283c3a8e91f2c0d2d64636f2c553d492789,152,6,grade;grouping;level_achieved;section;sort;units,6,FALSE,FALSE,FALSE
/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,data,canonical,22deccbd28afab08981b6e79c5be58eaa42fe8de508d5c95d079122bf6347f5a,29719609e56263142c9b533031b8af647adfbb29eda8e9c40e3dc49b0f59aae3,152,35,1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;grade;grouping;level_achieved;section;sort;units,6,TRUE,FALSE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/02 reference pre-canonical/20250329 SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,20250329 SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,data,pre-canonical,b3cf2c8df12424ec4faf62d983ad9d58673782d0b0d02953fcd5027550e86091,c48345289db8b17c564def27b96a14214166eb45176d2e48cf75a558b605c1a7,4255,8,grade;grouping;level_achieved;section;sort;units;value;year,6,FALSE,TRUE,TRUE
/Users/D/R Working Directory/SCUC Data Recovery/02 reference pre-canonical/20250808_FINALIZED_man_standardized_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG (SUPERSEDED).csv,20250808_FINALIZED_man_standardized_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG (SUPERSEDED).csv,data,pre-canonical,eee03436f83fdc3e0d4b7b872d2429c518e828e3dcc81e1f37aec625c46fdc1f,739f415359e8872caeba94f30dccb81d13273e086fd39fa75014eb0bd5edec2a,4408,8,date;grade;grouping;level_achieved;section;sort;units;value,6,FALSE,TRUE,TRUE
