classification,source_path,source_file,source_project,source_exists_now,is_separate_non_snapshot_dataset,proposed_destination,staged_copy_exists_now,staged_copy_verified,recommended_canonical_target,canonical_target_exists,certain_hits,likely_hits,ambiguous_hits,active_code_files,active_projects,has_active_dependency,cleanup_status,proposed_action,deletion_authorized,owner_decision,owner_note
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_20250808_FINALIZED_man_standardized_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG (SUPERSEDED).csv,Became_Canonical_20250808_FINALIZED_man_standardized_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG (SUPERSEDED).csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_20250808_FINALIZED_man_standardized_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG (SUPERSEDED).csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_man_standardized_20250808_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG-FINAL (SUPERCEDED).xlsx,Became_Canonical_man_standardized_20250808_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG-FINAL (SUPERCEDED).xlsx,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_man_standardized_20250808_resectioned_decimals_SCUC_Snapshots_1995_to_2023-LONG-FINAL (SUPERCEDED).xlsx,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,0,0,70,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.rds,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_metric_registry_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_WIDE_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv,TRUE,0,0,39,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.rds,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_LONG_metric_registry_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2023_WIDE_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
06 canonical data set matches,/Users/D/R Working Directory/SCUC-Book---28-Years-of-Data/data/SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Snapshots 1995 to 2022-LONG.csv,SCUC-Book---28-Years-of-Data,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/06 canonical data set matches/SCUC-Book---28-Years-of-Data/data/SCUC Snapshots 1995 to 2022-LONG.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,0,0,1,0,,FALSE,READY FOR ARCHIVE after backup approval; exact canonical replacement exists,archive original after backup approval,FALSE,pending,
07 pre-canonical set matches,/Users/D/R Working Directory/29-Years-of-Data-SCUC/data/20250227 SCUC Snapshots 1995 to 2022-LONG.csv,20250227 SCUC Snapshots 1995 to 2022-LONG.csv,29-Years-of-Data-SCUC,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/07 pre-canonical set matches/29-Years-of-Data-SCUC/data/20250227 SCUC Snapshots 1995 to 2022-LONG.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; reference predecessor remains in folder 02,archive original after backup approval,FALSE,pending,
07 pre-canonical set matches,/Users/D/R Working Directory/Data Analysis - SCUC Flexdashboard/data/20250227 SCUC Snapshots 1995 to 2022-LONG.csv,20250227 SCUC Snapshots 1995 to 2022-LONG.csv,Data Analysis - SCUC Flexdashboard,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/07 pre-canonical set matches/Data Analysis - SCUC Flexdashboard/data/20250227 SCUC Snapshots 1995 to 2022-LONG.csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; reference predecessor remains in folder 02,archive original after backup approval,FALSE,pending,
07 pre-canonical set matches,/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_20250329 SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,Became_Canonical_20250329 SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,Master Data Bank,FALSE,FALSE,/Users/D/R Working Directory/SCUC Data Recovery/07 pre-canonical set matches/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/Became_Canonical_20250329 SCUC Snapshots 1995 to 2022-LONG (SUPERSEDED).csv,TRUE,TRUE,/Users/D/R Working Directory/SCUC Data Recovery/01 reference canonical/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,TRUE,0,0,0,0,,FALSE,READY FOR ARCHIVE after backup approval; reference predecessor remains in folder 02,archive original after backup approval,FALSE,pending,
