source_path,source_file,source_project,classification,reference_file,code_path,code_relative_path,code_project,dependency_confidence,match_basis,line_number,line_excerpt
/Users/D/R Working Directory/SCUC-Book---28-Years-of-Data/data/SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Snapshots 1995 to 2022-LONG.csv,SCUC-Book---28-Years-of-Data,06 canonical data set matches,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,/Users/D/R Working Directory/How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots,ambiguous,filename only,38,"df2 <- read_csv(file = here::here(""data"", ""SCUC Snapshots 1995 to 2022-LONG.csv""), show_col_types = FALSE)"
/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Data Analysis,08 datasets prior to pre-canonical set matches,,/Users/D/R Working Directory/How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots,ambiguous,filename only,38,"df2 <- read_csv(file = here::here(""data"", ""SCUC Snapshots 1995 to 2022-LONG.csv""), show_col_types = FALSE)"
/Users/D/R Working Directory/SCUC Data Analysis/data/SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Snapshots 1995 to 2022-LONG.csv,SCUC Data Analysis,08 datasets prior to pre-canonical set matches,,/Users/D/R Working Directory/How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots/MULTIPLE PLOTLY PLOTS AT ONCE.qmd,How to Build Plotly Plots,ambiguous,filename only,38,"df2 <- read_csv(file = here::here(""data"", ""SCUC Snapshots 1995 to 2022-LONG.csv""), show_col_types = FALSE)"
/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,Master Data Bank,06 canonical data set matches,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis,ambiguous,filename only,61,"df2 <- read_csv(file = here::here(""data"",""SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv"")) |>"
/Users/D/R Working Directory/29-Years-of-Data-SCUC/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,29-Years-of-Data-SCUC,08 datasets prior to pre-canonical set matches,,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis,ambiguous,filename only,59,"df1 <- read_csv(file = here::here(""data"",""TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv""))"
/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,SCUC Data Analysis,08 datasets prior to pre-canonical set matches,,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis,likely,filename only,59,"df1 <- read_csv(file = here::here(""data"",""TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv""))"
/Users/D/R Working Directory/SCUC-Book---28-Years-of-Data/data/TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv,SCUC-Book---28-Years-of-Data,08 datasets prior to pre-canonical set matches,,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Exploratory Data Analysis-Kelsey Gonzalez.qmd,SCUC Data Analysis,ambiguous,filename only,59,"df1 <- read_csv(file = here::here(""data"",""TEST SCUC 2004 TEA TAKS Data Grades 3-11.csv""))"
/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,Master Data Bank,06 canonical data set matches,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis,ambiguous,filename only,50,"df2 <- read_csv(file = here::here(""data"",""SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv"")) |>"
/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,Master Data Bank,06 canonical data set matches,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis,ambiguous,filename only,261,"df2 <- read_csv(file = here::here(""data"",""SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv"")) |>"
/Users/D/R Working Directory/Master Data Bank/CANONICAL DATA SETS/SCUC Canonical Data Sets/SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,Master Data Bank,06 canonical data set matches,SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv,/Users/D/R Working Directory/SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis/TEST-Plotting Data From TEA Reports/Plotting Data From TEA Reports.qmd,SCUC Data Analysis,ambiguous,filename only,418,"df2 <- read_csv(file = here::here(""data"",""SCUC_Snapshots_1995_to_2022_LONG_CANONICAL.csv"")) |>"
