date,Total Students in District,Total Number of Schools,Attendance Rate,Completion Rate,Annual Graduate Count,Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,4-Year Longitudinal Graduation Rate,5-Year Longitudinal Graduation Rate,6-Year Longitudinal Graduation Rate,Annual Dropout Rate,Annual Dropout Rate Gr 9-12,Four-year Dropout Rate,Exit-Level Cumulative Pass Rate,Instructional,Central Administrative,Campus Administrative-School Leadership,Plant Services,Other Operating,Non-Operating,Total Expenditures,Total Instructional Expenditures,Total Instructional ExpendPer Pupil,Total Operating Expenditures,Total Operating Expend Per Pupil,Regular Education,Un-Allocated Expenditures,Special Education,Compensatory-Accelerated Education,Bilingual-ESL Education,Career and Technology Education,Gifted and Talented Education,Athletics-Related Activities,High School Allotment,Prekindergarten,Fund Balance-EOY,Fund Balance of Budget,Percent Tested,Percent At Or Above Criterion,SAT-Mean Total Score,ACT-Mean Composite Score,Number of Students Per Total Staff,Number of Students Per Teacher,Total Staff FTE,Total Teacher FTE,Average Central Administr Salary,Average School Administr Salary,Average Profess Support Staff Salary,Average Teacher Salary,Minority,School Administrative,Professional Support Staff,Teachers,Educational Aides,Auxiliary Staff,White,Hispanic,African American,American Indian,Asian,Pacific Islander,2 or More Races,Economically Disadvantaged,SDAA Met ARD,All Subjects,Reading-ELA,Writing,Mathematics,Science,Social Studies,English Language Learners (ELL),Career and Technology Ed,Gifted and Talented Ed,State,Local and Other,Federal,Taxable Value Per Pupil,Locally Adopted Tax Rate,Total Revenue,Total Revenue Per Pupil,Total Operating Revenue,Total Other Revenue,Two or More Races,With 5 or Fewer Years Experience,Average Years of Experience,With Advanced Degrees,Teacher Turnover Rate,Compensatory Education,Other Education-Includes G and T
1995,4668,8,0.947,NA,267,NA,NA,NA,NA,0.016,NA,NA,NA,53,7,4,11,15,10,23223891,12220739,2618,20924195,4482,62,NA,16,14,1,4,3,NA,NA,NA,5215910,26,65.3,15.9,892,20.5,7.3,15.5,641,302,50534,46940,30173,27108,18,2,9,47,15,27,66.3,40.9,38,NA,NA,NA,50,47,NA,75.66666667,80.6,81.7,64.7,NA,NA,NA,20,9,60,34,6,117376,0.0131,23188104,4967,NA,NA,0,47.2,9.7,18.3,0.13699999999999998,5,13
1996,4831,8,0.95,NA,260,NA,NA,NA,NA,0.02,NA,NA,NA,51,7,4,10,16,11,24199460,12313422,2549,21501038,4451,59,NA,16,15,1,4,6,NA,NA,NA,5837039,28,70.9,17.5,906,20.2,7.4,15.8,652,305,55262,45551,31698,29279,20,2,8,47,16,27,69.7,50.3,44.9,NA,NA,NA,70,52.5,NA,77.6,80.6,80.2,72,NA,NA,NA,12,7,57,37,5,121602,0.01371,24049608,4978,NA,NA,0,45,9.9,18,0.118,5,13
1997,5128,8,0.951,NA,291,NA,NA,NA,NA,0.013,NA,NA,NA,58,7,5,11,16,9,25218419,13200310,2574,22830591,4452,61,NA,17,12,1,4,5,NA,NA,NA,7707126,35,70.7,27,1019,20.5,7.6,16.1,673,318,61168,52050,35262,31452,21,2,8,47,15,26,79.5,59.1,64.5,NA,NA,NA,84,59.9,NA,83.7,86.6,83.9,80.6,NA,NA,NA,11,7,57,40,3,119480,0.01642,25214972,4917,NA,NA,1,45.4,9.8,18.1,0.123,4,9
1998,5479,9,0.952,NA,329,NA,NA,NA,NA,0.008,NA,NA,NA,49,6,5,11,15,15,30292496,14699516,2683,25629028,4678,62,NA,16,12,1,4,5,NA,NA,NA,8001710,30,68.2,33.9,1008,21,7.6,16.3,724,336,62901,51385,36202,33267,22,2,8,46,16,27,82.9,66,67.6,NA,NA,NA,78.8,67.9,NA,85.43333333,89.6,80.9,85.8,NA,NA,NA,16,6,57,41,2,128014,0.0143,28267474,5159,NA,NA,1,42.5,10.1,19.3,0.159,8,3
1999,5939,10,0.955,0.967,387,NA,NA,NA,NA,0.003,NA,0.079,NA,52,6,5,11,17,10,32648907,16884069,2843,29513110,4969,65,NA,16,11,1,5,3,NA,NA,NA,6755983,23,57.7,25.7,992,21.5,7.5,16,788,372,65117,51278,37033,33589,22,3,8,47,15,26,81.6,69,72.4,NA,NA,NA,81.1,64.4,NA,86.36666667,88.7,84.9,85.5,NA,NA,NA,12,6,55,43,2,129741,0.01692,32643519,5496,NA,NA,1,47.3,9.9,21,0.112,2,5
2000,6186,11,0.955,0.895,377,NA,NA,NA,NA,0.006,NA,0.032,NA,52,7,5,10,18,8,36942341,19285392,3118,33976406,5492,66,NA,16,10,1,5,2,NA,NA,NA,2762475,8,54.6,34.5,1032,21.7,7.4,15.3,841,404,69910,55848,38670,36106,22,2,9,48,14,26,84.7,75.6,73.5,NA,NA,NA,89.5,69.5,NA,89.36666667,89.4,88,90.7,NA,NA,NA,14,6,60,38,2,152122,0.01537,36946079,5973,NA,NA,0,46.7,9.6,22.1,0.17,3,6
2001,6446,11,0.96,0.887,455,NA,NA,NA,NA,0.005,NA,0.04,NA,50,8,5,10,17,10,39935917,20076404,3115,35980515,5582,71,NA,13,6,1,5,3,NA,NA,NA,2931440,8,61.5,25,991,21.1,7.6,15.4,847,420,70728,59071,41535,37708,21,2,9,50,13,25,87.4,78.6,78.5,NA,NA,NA,94.7,76.2,NA,90.46666667,92.1,86.6,92.7,NA,NA,NA,13,5,51,47,2,163275,0.01627,39704236,6160,NA,NA,0,45.7,9.7,23.9,0.133,3,8
2002,6427,11,0.956,0.93,490,NA,NA,NA,NA,0.004,NA,0.01,NA,49,7,5,10,18,11,43488377,21266149,3309,38493612,5989,71,NA,14,6,1,5,3,NA,NA,NA,3144701,8,62.4,27.9,995,21,7.3,14.6,880,441,70273,57830,43469,38760,21,2,9,50,12,25,90.8,85.4,85.8,NA,NA,NA,96.7,82,NA,93.3,94.4,90.3,95.2,NA,NA,NA,15,5,48,49,2,179498,0.0171,43435253,6758,NA,NA,0,43.8,9.7,23.9,0.14800000000000002,2,8
2003,6697,11,0.959,0.899,467,NA,NA,NA,NA,0.005,NA,0.02,NA,51,7,5,10,16,11,44284186,22478343,3356,39316527,5871,76,NA,13,2,1,5,1,NA,NA,NA,3075924,8,60.3,28.7,991,20.7,7.9,15.3,843,438,72724,58880,45296,39368,22,3,9,52,10,26,77.2,63.5,63.5,NA,NA,NA,77.5,59.8,NA,84.3,86.6,82.6,83.5,75.8,93,NA,20,5,45,53,2,192452,0.0173,44284216,6613,NA,NA,0,41.6,10,24,0.129,7,3
2004,7235,12,0.958,0.924,534,NA,NA,NA,NA,0,NA,0.017,NA,50,7,5,10,16,13,48264575,24116366,3601,42073977,6283,71,NA,14,5,1,4,0,NA,NA,NA,3773630,9,59.9,29.1,1005,21.6,8,15.5,903,468,72986,63653,46367,39884,23,2,9,52,10,26,82,69,74,NA,NA,NA,81,65,82,89.8,91,95,85,83,95,NA,24,5,46,48,6,197418,0.0178,48730902,7277,NA,NA,0,40.7,9.8,23.5,0.109,7,4
